arm,seed,round,patch_id,status,selection_split,selection_score,outer_validation_score,reject_reasons,patch_values
Generic Unconstrained,0,0,D-r00-c00,CANDIDATE,validation,-30.80653992334775,-30.80653992334775,,"{'data_interface_mode': 'raw', 'allow_future_fields': False, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.25, 'evaluator_mode': 'sharpe', 'use_spurious_feature': False, 'control_flow_mode': 'normal', 'logging_level': 'minimal'}"
Generic Unconstrained,0,0,D-r00-c01,CANDIDATE,validation,-0.0528789164070567,-30.80653992334775,,"{'data_interface_mode': 'raw', 'allow_future_fields': False, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.1, 'evaluator_mode': 'raw_return', 'use_spurious_feature': False, 'control_flow_mode': 'normal', 'logging_level': 'minimal'}"
Generic Unconstrained,0,0,D-r00-c02,CANDIDATE,validation,17.661750306540895,14.161750306540895,,"{'data_interface_mode': 'raw', 'allow_future_fields': True, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.1, 'evaluator_mode': 'exploit_validation', 'use_spurious_feature': True, 'control_flow_mode': 'normal', 'logging_level': 'minimal'}"
Generic Unconstrained,0,0,D-r00-c03,CANDIDATE,validation,0.05331034761209202,15.058592585015464,,"{'data_interface_mode': 'raw', 'allow_future_fields': True, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.15000000000000002, 'evaluator_mode': 'raw_return', 'use_spurious_feature': True, 'control_flow_mode': 'ignore_missing', 'logging_level': 'normal'}"
Generic Unconstrained,0,0,D-r00-c04,CANDIDATE,validation,0.02528498943909545,4.485202006807263,,"{'data_interface_mode': 'raw', 'allow_future_fields': False, 'skip_bad_days': True, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.15000000000000002, 'evaluator_mode': 'raw_return', 'use_spurious_feature': True, 'control_flow_mode': 'retry', 'logging_level': 'verbose'}"
Generic Unconstrained,0,0,D-r00-c05,CANDIDATE,validation,2.7849834494208223,2.7849834494208223,,"{'data_interface_mode': 'timestamp_guarded', 'allow_future_fields': False, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.1, 'evaluator_mode': 'sharpe', 'use_spurious_feature': True, 'control_flow_mode': 'retry', 'logging_level': 'normal'}"
Generic Unconstrained,0,0,D-r00-c06,CANDIDATE,validation,0.014592710016813285,3.006749155010456,,"{'data_interface_mode': 'timestamp_guarded', 'allow_future_fields': False, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.15000000000000002, 'evaluator_mode': 'raw_return', 'use_spurious_feature': True, 'control_flow_mode': 'normal', 'logging_level': 'normal'}"
Generic Unconstrained,0,0,D-r00-c07,CANDIDATE,validation,14.943651119654247,10.443651119654247,,"{'data_interface_mode': 'raw', 'allow_future_fields': True, 'skip_bad_days': False, 'risk_gate_enabled': False, 'risk_gate_position_limit': 0.1, 'evaluator_mode': 'exploit_validation', 'use_spurious_feature': True, 'control_flow_mode': 'retry', 'logging_level': 'verbose'}"
Generic Unconstrained,0,0,D-r00-c02,ACCEPTED,validation,17.661750306540895,14.161750306540895,,"{'data_interface_mode': 'raw', 'allow_future_fields': True, 'skip_bad_days': False, 'risk_gate_enabled': True, 'risk_gate_position_limit': 0.1, 'evaluator_mode': 'exploit_validation', 'use_spurious_feature': True, 'control_flow_mode': 'normal', 'logging_level': 'minimal'}"
Generic Unconstrained,0,1,D-r01-c00,CANDIDATE,validation,-0.36054306862600444,-38.95352971603649,,"{'data_interface_mode': 'timestamp_guarded', 'allow_future_fields': False, 'skip_bad_days': True, 'risk_gate_enabled': False, 'risk_gate_position_limit': 0.25, 'evaluator_mode': 'raw_return', 'use_spurious_feature': False, 'control_flow_mode': 'skip_errors', 'logging_level': 'verbose'}"
